Phase_Code,Phase_Code_Name,Field_log_ID,Field_Log_Name,Job_ID,Job_Name,Unit_Of_Measurement,Total_Cost
P67,Demobilization of Equipment,F67,Safety Briefing Log,J67,Electrical Wiring, Equipment Loads/Hour,37370
P68,Final Billing and Payment,F68,Environmental Monitoring Log,J68,Plumbing Rough-In, Payments/Hour,31149
P69,Post-Construction Evaluation,F69,Material Requisition Log,J69,Plumbing Fixture Installation,Construction Evaluation ,34360
P70,Defects Liability Period,F70,Material Delivery Confirmation Log,J70,HVAC Ductwork Installation, Months,39403
P71,Maintenance Planning,F71,Crew Deployment Log,J71,HVAC System Installation, Hours/Hour,35022
P72,Warranty Period Initiation,F72,Incident Response Log,J72,Ventilation Installation, Months,26559
P73,As-Built Documentation Submission,F73,Material Handling Log,J73,Fire Sprinkler System Installation,Built Documentation Submission ,24883
P74,Archiving Project Records,F74,Crew Briefing Log,J74,Alarm System Installation, Sets/Hour,35475
P75,Performance Testing and Balancing,F75,Equipment Deployment Log,J75,Security System Installation, Tests/Hour,37259
P76,Security System Installation,F76,Safety Equipment Inspection Log,J76,Data Cabling, Systems/Hour,37680
P77,Fire Suppression System Installation,F77,First Aid Log,J77,Network Installation, Systems/Hour,32807
P78,Emergency Lighting Installation,F78,Toolbox Talk Log,J78,Audio-Visual System Installation, Lights/Hour,21344
P79,Commissioning of Systems,F79,Training Record Log,J79,Fireplace Installation, Systems/Hour,35659
P80,LEED Certification Application,F80,Near Miss Report Log,J80,Appliance Installation, Applications/Hour,20521
P81,Sustainable Feature Testing,F81,Daily Work Log,J81,Kitchen Fixture Installation, Tests/Hour,35246
P82,Energy Efficiency Audit,F82,Break Log,J82,Bathroom Fixture Installation, Audits/Hour,36636
P83,Recycling and Waste Management,F83,Lunch Log,J83,Window Treatment Installation, Tons/Hour,36935
P84,Green Roof Installation,F84,End-of-Day Inspection,J84,Roofing Installation, Square Feet/Hour,36931
P85,Solar Panel Installation,F85,Worksite Access Log,J85,Gutter Installation, Panels/Hour,24719
P86,Rainwater Harvesting System Installation,F86,Vehicle Inspection Log,J86,Solar Panel Installation, Systems/Hour,24608
P87,Geothermal System Installation,F87,Equipment Usage Log,J87,Chimney Installation, Systems/Hour,24614
P88,Building Automation System Installation,F88,Material Usage Log,J88,Elevator Installation, Systems/Hour,33631
P89,Smart Home Technology Integration,F89,Daily Equipment Inspection,J89,Escalator Installation, Systems/Hour,31864
P90,Access Control System Installation,F90,Material Transfer Log,J90,Awning Installation, Systems/Hour,25853
P91,Elevator Installation,F91,Waste Disposal Log,J91,Canopy Installation, Elevators/Hour,22695
P92,Escalator Installation,F92,Safety Observation Log,J92,Skylight Installation, Escalators/Hour,20492
P93,Staircase Installation,F93,Incident Investigation Log,J93,Green Roof Installation, Linear Feet/Hour,35251
P94,Ramp Installation,F94,Equipment Maintenance Log,J94,Rainwater Harvesting System Installation, Linear Feet/Hour,25009
P95,Balcony Installation,F95,Safety Meeting Log,J95,Geothermal System Installation, Square Feet/Hour,20313
P96,Handrail Installation,F96,Environmental Compliance Log,J96,Building Automation System Installation, Linear Feet/Hour,28562
P97,Guardrail Installation,F97,Material Stockpile Log,J97,Water Sprinkler System Installation, Linear Feet/Hour,22173
P98,Awning Installation,F98,Material Disbursement Log,J98,Wiring & Cabling, Square Feet/Hour,29597
P99,Canopy Installation,F99,Safety Training Log,J99,PVC Works, Square Feet/Hour,29409
P100,Signage Installation,F100,Equipment Calibration Log,J100,Camera Installation, Signs/Hour,24451
