ADH_Ref_ID,Date,PhaseCode,Crew_ID,Weather_ID,ActualHours,ActualQuantity
A56,2022-10-22,P89,C2,W2401,7.355072464,82.8
A57,2022-04-11,P90,C5,W101,5.337423313,1594.14
A58,2022-09-15,P42,C5,W1160,2.563131313,219.5424
A59,2022-03-12,P64,C8,W1575,3.70212766,33.135
A60,2022-05-20,P2,C4,W1043,2.409972299,156.3852
A61,2022-05-09,P39,C13,W1032,2.811634349,182.4494
A62,2022-09-21,P87,C13,W565,7.483870968,514.8214286
A63,2022-09-05,P93,C6,W2307,8.405797101,82.8
A64,2022-10-08,P17,C10,W582,5.163204748,946.4083333
A65,2022-02-05,P20,C9,W638,3.843657817,6.257041742
A66,2022-04-01,P51,C1,W392,6.724637681,110.7209302
A67,2022-06-20,P34,C1,W1675,3.936651584,52.598
A68,2022-02-14,P11,C14,W647,6.548387097,961
A69,2022-10-19,P78,C6,W2395,8.226950355,25.51572193
A70,2022-06-22,P40,C18,W2158,6.214285714,548.8
A71,2022-04-15,P77,C18,W2014,6.823529412,693.6
A72,2022-03-06,P12,C9,W1934,7.518518519,729
A73,2022-03-15,P49,C9,W375,6.724637681,110.7209302
A74,2022-01-06,P16,C15,W307,3.143631436,136.161
A75,2022-01-18,P6,C5,W921,2.891737892,98.5608
A76,2022-03-01,P56,C18,W1924,6.770428016,528.392
A77,2022-02-14,P31,C7,W1549,7.898832685,924.686
A78,2022-04-22,P74,C15,W714,7.518518519,437.4
A79,2022-06-13,P75,C14,W1066,3.126684636,35.90634783
A80,2022-08-08,P4,C19,W521,6.925373134,1571.15
A81,2022-10-27,P3,C18,W2411,8.405797101,66.24
A82,2022-01-18,P75,C10,W2432,7.073170732,16.1376
A83,2022-01-24,P22,C16,W1852,4.084507042,3.402675
A84,2022-02-20,P40,C17,W653,6.548387097,1345.4
A85,2022-04-08,P89,C16,W98,7.116564417,1594.14
A86,2022-05-02,P56,C4,W1626,3.866666667,40.5
A87,2022-09-15,P96,C5,W1461,7,75.69180328
A88,2022-10-27,P36,C8,W300,5.667752443,549.7858333
A89,2022-09-27,P33,C9,W2694,6.170212766,59.53668449
A90,2022-01-11,P26,C17,W1826,5.248868778,58.6092
A91,2022-05-04,P45,C14,W2052,5.723684211,517.5296
A92,2022-01-03,P83,C16,W906,8.256227758,1184.415
A93,2022-03-11,P64,C8,W973,2.692307692,85.2774
A94,2022-05-17,P16,C2,W1340,4.518518519,1.458
A95,2022-07-27,P6,C3,W2632,8.111888112,327.184
A96,2022-08-04,P38,C12,W818,9.28,437.5
A97,2022-07-28,P21,C20,W1713,4.065420561,27.4776
A98,2022-08-06,P33,C19,W218,5.132743363,1237.610769
A99,2022-08-14,P18,C3,W2264,6.744186047,15.16264237
A100,2022-08-19,P5,C11,W1133,2.345013477,110.1128
A101,2022-05-24,P48,C19,W1648,5.065502183,13.98426667
A102,2022-03-04,P67,C13,W1266,6.987951807,661.344
A103,2022-07-06,P36,C20,W1089,2.735849057,83.78147826
A104,2022-10-04,P93,C8,W879,6.823529412,120.4166667
A105,2022-09-16,P9,C6,W1763,5.34562212,8.720185185
A106,2022-09-27,P64,C12,W2694,8.226950355,25.51572193
A107,2022-07-31,P3,C3,W1716,4.065420561,27.4776
A108,2022-03-20,P49,C9,W681,8.140350877,649.8
A109,2022-10-12,P29,C19,W1789,4.53125,3.7632
A110,2022-03-30,P41,C13,W1982,5.918367347,1210.104
A111,2022-05-10,P83,C20,W732,7.660377358,351.125
A112,2022-07-23,P87,C20,W1708,5.420560748,34.347
A113,2022-08-10,P20,C3,W1124,3.126684636,165.1692
A114,2022-01-20,P83,C16,W622,5,1816.56
A115,2022-01-07,P63,C11,W1818,5.603864734,25.7094
A116,2022-01-21,P27,C6,W1846,5.607734807,32.761
A117,2022-07-08,P97,C11,W791,8.12,166.5
A118,2022-07-26,P26,C2,W207,5.98820059,1060.809231
A119,2022-03-11,P75,C10,W1574,4.319148936,33.135
A120,2022-05-30,P57,C11,W2574,6.246153846,845
A121,2022-03-31,P4,C16,W1293,6.304347826,90.7235
A122,2022-05-28,P96,C5,W2108,6.284829721,365.6738667
A123,2022-06-20,P90,C12,W1374,4.25,1.506919528
A124,2022-02-20,P24,C20,W1906,6.904761905,508.032
A125,2022-07-14,P31,C1,W1097,3.213296399,114.030875
A126,2022-09-05,P17,C10,W1451,7.733333333,21.4797136
A127,2022-10-16,P71,C11,W289,6.61237785,235.6225
A128,2022-09-09,P62,C18,W2676,6.170212766,25.51572193
A129,2022-02-06,P35,C5,W639,6.548387097,1345.4
A130,2022-09-30,P20,C5,W875,7.960784314,96.33333333
A131,2022-07-31,P74,C5,W1114,2.409972299,48.870375
A132,2022-09-28,P42,C19,W1173,2.563131313,219.5424
A133,2022-03-24,P44,C12,W1970,7,692.5882353
A134,2022-03-12,P30,C10,W1946,7.574626866,861.888
A135,2022-03-10,P86,C1,W1942,8.375451264,1150.935
A136,2022-01-16,P100,C4,W1836,5.638888889,32.4
A137,2022-10-07,P49,C10,W280,6.61237785,314.1633333
A138,2022-07-16,P94,C10,W799,8.12,166.5
A139,2022-04-04,P4,C20,W1992,5.979381443,1185.534
A140,2022-08-24,P1,C5,W2284,7.777777778,340.605
A141,2022-01-19,P51,C4,W19,6.059701493,897.8
A142,2022-03-04,P87,C4,W63,5.087719298,1754.46
A143,2022-03-12,P64,C12,W1575,4.936170213,33.135
A144,2022-05-22,P53,C14,W443,5.488958991,423.1115789
A145,2022-01-22,P22,C5,W1848,4.300847458,66.8352
A146,2022-05-12,P35,C12,W2068,5.819397993,140.6307865
A147,2022-05-26,P11,C2,W1650,4.43231441,17.48033333
A148,2022-05-08,P31,C17,W128,6.00591716,1066.277333
A149,2022-03-08,P76,C9,W368,5.884057971,83.04069767
A150,2022-01-13,P39,C15,W2427,6.137566138,50.0094
A151,2022-03-17,P67,C12,W979,2.692307692,85.2774
A152,2022-02-06,P16,C17,W2451,5.028901734,29.929
A153,2022-02-13,P26,C11,W44,5.935672515,1403.568
A154,2022-03-21,P67,C9,W2494,5.723684211,554.496
A155,2022-01-05,P100,C4,W908,3.304843305,123.201
A156,2022-07-04,P53,C9,W2609,7.147887324,121.7449057
A157,2022-03-16,P3,C6,W1954,8.055555556,995.328
A158,2022-08-16,P43,C12,W830,9.098039216,128.2183099
A159,2022-05-13,P46,C5,W2070,6.096096096,1552.446
A160,2022-01-09,P22,C14,W1822,4.879807692,51.9168
A161,2022-05-04,P100,C3,W1327,6.548387097,43.4841629
A162,2022-07-18,P9,C4,W1101,2.811634349,122.1759375
A163,2022-10-25,P42,C4,W2407,7.19858156,59.53668449
A164,2022-02-26,P53,C2,W1918,9.027237354,440.3266667
A165,2022-06-24,P68,C8,W175,5.087719298,701.784
A166,2022-07-13,P74,C19,W1698,4.742990654,13.7388
A167,2022-05-27,P73,C18,W448,5.488958991,317.3336842
A168,2022-09-18,P73,C19,W261,5.37037037,116.64
A169,2022-02-28,P7,C13,W962,2.410926366,106.3446
A170,2022-06-29,P19,C20,W1684,4.592760181,37.57
A171,2022-07-25,P66,C7,W2630,6.304347826,34.88977099
A172,2022-10-12,P60,C20,W586,6.023738872,757.1266667
A173,2022-10-10,P49,C2,W283,5.667752443,314.1633333
A174,2022-05-21,P100,C12,W1044,2.409972299,130.321
A175,2022-06-23,P90,C13,W1076,2.345013477,89.76586957
A176,2022-07-18,P88,C13,W199,5.98820059,1326.011538
A177,2022-06-10,P26,C18,W161,6.783625731,1403.568
A178,2022-05-26,P49,C11,W2096,6.692307692,540.8
A179,2022-08-05,P52,C17,W2641,8.055555556,150.8072727
A180,2022-08-04,P75,C15,W1118,3.213296399,48.870375
A181,2022-03-02,P48,C16,W1264,6.114457831,881.792
A182,2022-09-06,P84,C9,W550,6.925373134,1683.375
A183,2022-01-17,P100,C1,W1838,4.484536082,37.636
A184,2022-04-25,P25,C7,W2034,6.966966967,1330.668
A185,2022-04-14,P44,C1,W2012,5.028901734,1676.024
A186,2022-05-05,P77,C10,W727,8.592592593,437.4
A187,2022-05-29,P90,C9,W450,7.318611987,793.3342105
A188,2022-09-22,P91,C20,W2689,7.19858156,63.78930481
A189,2022-04-14,P52,C12,W405,5.850144092,688.0514286
A190,2022-08-19,P8,C15,W1133,3.126684636,206.4615
A191,2022-07-24,P99,C4,W2222,6.397058824,21.89380465
A192,2022-04-22,P24,C7,W2028,6.304347826,414.736
A193,2022-03-14,P59,C9,W1950,7.748091603,549.152
A194,2022-03-26,P97,C2,W1589,3.70212766,29.117
A195,2022-06-04,P78,C16,W757,6.566037736,140.45
A196,2022-08-22,P36,C9,W1437,6.766666667,30.07159905
A197,2022-08-20,P69,C5,W232,6.763848397,190.7821622
A198,2022-01-18,P20,C18,W1522,4.658634538,74.4012
A199,2022-03-15,P23,C3,W1952,8.083623693,988.428
A200,2022-01-21,P97,C16,W1224,5.147928994,598.0688
A201,2022-06-29,P17,C14,W782,6.566037736,540.1923077
A202,2022-09-06,P60,C8,W2309,6.304347826,44.16
A203,2022-02-18,P60,C17,W1252,6.987951807,881.792
A204,2022-03-25,P57,C11,W686,7.122807018,649.8
A205,2022-01-31,P3,C13,W934,2.478632479,147.8412
A206,2022-05-19,P5,C10,W2553,7.295597484,622.3015385
A207,2022-02-04,P83,C4,W1874,3.640167364,8.65469697
A208,2022-01-27,P34,C13,W1858,4.243902439,58.835
A209,2022-05-29,P69,C10,W1352,5.592592593,0.8748
A210,2022-01-20,P94,C8,W1844,5.714285714,21.82868
A211,2022-02-23,P21,C12,W355,2.196969697,144.7532308
A212,2022-03-05,P82,C13,W64,5.935672515,1754.46
A213,2022-04-01,P52,C7,W1986,7.945205479,620.1018182
A214,2022-06-06,P76,C16,W1360,5.592592593,0.8748
A215,2022-09-14,P32,C3,W1159,2.563131313,219.5424
A216,2022-10-26,P43,C11,W1201,2.735849057,192.6974
A217,2022-03-05,P29,C4,W365,2.929292929,144.7532308
A218,2022-07-01,P60,C17,W1385,4.25,0.803690415
A219,2022-08-05,P24,C9,W217,6.843657817,1060.809231
A220,2022-08-07,P46,C5,W520,6.059701493,1571.15
A221,2022-02-19,P11,C15,W1904,4.076305221,62.001
A222,2022-06-25,P59,C12,W2164,8.055555556,663.552
A223,2022-05-18,P86,C17,W2552,5.386996904,1564.935
A224,2022-02-23,P62,C19,W2468,3.97260274,28.7766
A225,2022-06-29,P70,C5,W2172,6.835016835,74.5428169
A226,2022-08-16,P18,C13,W830,6.823529412,91.58450704
A227,2022-01-15,P17,C8,W617,5.833333333,1211.04
A228,2022-03-23,P84,C14,W1968,6.904761905,1296.54
A229,2022-05-31,P54,C18,W2114,6.323987539,824.328
A230,2022-07-29,P22,C17,W2232,7.707641196,604.0066667
A231,2022-03-30,P26,C14,W992,3.076923077,170.5548
A232,2022-05-01,P91,C12,W1324,7.483870968,65.22624434
A233,2022-05-27,P73,C12,W2102,5.8,540
A234,2022-08-19,P35,C11,W231,5.072886297,445.1583784
A235,2022-01-27,P25,C19,W930,2.891737892,147.8412
A236,2022-04-24,P31,C12,W415,5.014409222,1204.09
A237,2022-03-18,P85,C5,W1958,8.111888112,1226.94
A238,2022-03-03,P41,C12,W1928,9.243027888,882.014
A239,2022-06-24,P31,C17,W2162,8.226950355,98.52530973
A240,2022-05-18,P30,C15,W2080,7.581699346,1123.632
A241,2022-08-14,P36,C17,W1128,2.345013477,192.6974
A242,2022-09-06,P40,C14,W2309,7.355072464,77.28
A243,2022-07-06,P34,C5,W488,6.677631579,340.48
A244,2022-07-20,P62,C20,W1103,3.213296399,48.870375
A245,2022-04-01,P40,C1,W1294,7.204968944,90.7235
A246,2022-06-03,P57,C12,W2120,5.559105431,783.752
A247,2022-02-07,P68,C6,W640,7.483870968,576.6
A248,2022-01-07,P37,C20,W1511,4.076305221,86.8014
A249,2022-02-26,P26,C5,W659,7.483870968,1153.2
A250,2022-02-08,P87,C8,W942,2.066508314,265.8615
A251,2022-06-10,P17,C13,W763,7.660377358,540.1923077
A252,2022-06-28,P58,C3,W179,5.935672515,935.712
A253,2022-06-04,P31,C6,W2122,7.25,409.6
A254,2022-03-29,P46,C20,W1980,6.744186047,1268.414
A255,2022-04-04,P4,C17,W1993,5.471698113,1415.736
A256,2022-02-09,P79,C8,W943,2.410926366,106.3446
A257,2022-01-01,P6,C13,W302,6.214285714,36.46511628
A258,2022-03-31,P72,C10,W1594,3.70212766,33.135
A259,2022-07-07,P22,C17,W2188,7.408759124,91.00121212
A260,2022-07-23,P22,C6,W1708,4.742990654,27.4776
A261,2022-01-14,P80,C13,W1832,5,6.945337079
A262,2022-08-12,P82,C6,W2260,7.689393939,21.96302521
A263,2022-08-10,P28,C11,W523,5.194029851,1346.7
A264,2022-02-15,P72,C14,W347,2.563131313,72.37661538
A265,2022-08-07,P55,C19,W2250,7.224199288,25.78318367
A266,2022-01-06,P15,C18,W6,6.925373134,1122.25
A267,2022-01-17,P36,C15,W1220,5.147928994,1599.416
A268,2022-07-21,P56,C20,W1104,2.811634349,65.1605
A269,2022-06-18,P70,C3,W2593,6.170212766,20.47828326
A270,2022-04-28,P23,C14,W2040,5.506329114,1198.272
A271,2022-02-23,P1,C2,W355,2.929292929,120.6276923
A272,2022-06-04,P86,C12,W456,5.488958991,793.3342105
A273,2022-06-10,P72,C11,W1063,3.126684636,35.90634783
A274,2022-02-07,P75,C15,W1241,6.987951807,661.344
A275,2022-09-17,P64,C8,W561,7.483870968,205.9285714
A276,2022-07-17,P63,C14,W800,8.12,187.5
A277,2022-02-24,P11,C12,W1559,9.027237354,660.49
A278,2022-08-20,P18,C17,W232,6.763848397,317.9702703
A279,2022-01-05,P62,C2,W607,6.666666667,726.624
A280,2022-02-10,P21,C9,W41,5.087719298,1403.568
A281,2022-02-24,P2,C4,W1914,6.877470356,768.108
A282,2022-05-11,P4,C13,W2545,7.837837838,299.1765854
A283,2022-06-26,P77,C2,W1079,3.126684636,35.90634783
A284,2022-05-12,P80,C15,W1035,3.213296399,195.4815
A285,2022-05-16,P64,C6,W437,5.488958991,317.3336842
A286,2022-07-11,P1,C9,W2196,7.19858156,795.24
A287,2022-08-08,P79,C17,W2252,7.302158273,21.27082569
A288,2022-08-24,P14,C20,W537,5.194029851,1122.25
A289,2022-09-22,P27,C10,W2341,6.304347826,66.24
A290,2022-10-22,P36,C11,W596,5.163204748,1324.971667
A291,2022-09-30,P93,C10,W2697,7.19858156,63.78930481
A292,2022-06-13,P89,C4,W1066,3.126684636,89.76586957
A293,2022-02-16,P81,C17,W950,2.755344418,265.8615
A294,2022-04-28,P49,C16,W2532,6.763848397,941.192
A295,2022-04-09,P72,C18,W2002,5.819397993,536.406
A296,2022-04-10,P40,C15,W1604,3.866666667,70.875
A297,2022-04-23,P32,C7,W2030,7.25,1303.272727
A298,2022-06-21,P56,C10,W1676,4.592760181,30.056
A299,2022-07-29,P95,C15,W1714,4.742990654,12.30696
A300,2022-07-26,P42,C8,W809,9.28,437.5
A301,2022-08-09,P83,C7,W1725,4.742990654,9.675211268
A302,2022-09-06,P25,C10,W249,6.763848397,381.5643243
A303,2022-06-19,P38,C1,W2152,5.918367347,65.05935484
A304,2022-07-07,P58,C5,W1692,5.420560748,18.3184
A305,2022-10-07,P23,C7,W1483,6.928327645,104.0593939
A306,2022-02-08,P8,C2,W1882,3.782608696,79.35
A307,2022-05-26,P77,C5,W447,7.318611987,317.3336842
A308,2022-05-29,P69,C15,W2573,7.22741433,618.246
A309,2022-07-16,P78,C1,W498,6.170212766,83.26230769
A310,2022-08-12,P55,C12,W1427,5.8,17.18377088
A311,2022-02-04,P87,C11,W938,3.304843305,184.8015
A312,2022-03-01,P85,C6,W1924,6.770428016,990.735
A313,2022-05-13,P96,C10,W1036,3.213296399,68.16692
A314,2022-06-28,P93,C8,W1081,3.126684636,89.76586957
A315,2022-06-09,P78,C10,W2584,5.386996904,83.4632
A316,2022-02-03,P78,C11,W2448,5.471698113,26.9664
A317,2022-03-16,P3,C11,W1954,8.055555556,995.328
A318,2022-04-28,P1,C19,W1622,5.155555556,50.625
A319,2022-02-02,P28,C4,W1537,3.493975904,74.4012
A320,2022-03-19,P71,C11,W1960,6.170212766,477.144
A321,2022-02-17,P95,C5,W48,5.935672515,612.2128
A322,2022-02-27,P42,C13,W1920,9.133858268,903.224
A323,2022-06-07,P35,C6,W2128,5.612903226,1345.4
A324,2022-09-03,P80,C12,W848,7.960784314,137.3767606
A325,2022-02-13,P90,C4,W947,2.755344418,265.8615
A326,2022-04-19,P4,C7,W1312,7.483870968,60.87782805
A327,2022-09-26,P29,C13,W570,6.548387097,411.8571429
A328,2022-03-19,P13,C10,W379,6.724637681,138.4011628
A329,2022-05-28,P85,C3,W449,7.318611987,793.3342105
A330,2022-07-10,P20,C20,W2194,6.06271777,111.0593258
A331,2022-09-10,P59,C14,W2677,8.226950355,34.02096257
A332,2022-02-03,P76,C12,W34,6.059701493,673.35
A333,2022-01-03,P88,C2,W906,6.192170819,1184.415
A334,2022-05-22,P42,C1,W443,5.488958991,740.4452632
A335,2022-07-23,P95,C14,W2628,7.355072464,30.06021053
A336,2022-02-20,P98,C17,W653,7.483870968,503.72
A337,2022-05-06,P80,C5,W427,6.685878963,1290.096429
A338,2022-05-30,P62,C17,W2574,6.246153846,633.75
A339,2022-07-12,P16,C3,W2198,8.226950355,80.32727273
A340,2022-01-12,P71,C6,W1828,4.652406417,6.5566875
A341,2022-05-13,P37,C2,W2071,7.682119205,425.6186667
A342,2022-02-12,P44,C7,W2457,5.670391061,44.8574
A343,2022-01-11,P93,C10,W11,6.059701493,1683.375
A344,2022-10-17,P82,C8,W2391,6.170212766,63.78930481
A345,2022-08-16,P64,C4,W228,5.072886297,190.7821622
A346,2022-08-24,P20,C2,W537,5.194029851,1346.7
A347,2022-02-06,P23,C5,W1878,5.028901734,35.9148
A348,2022-02-27,P66,C10,W1921,6.96,375
A349,2022-08-25,P67,C20,W2286,8.197879859,240.267
A350,2022-08-04,P21,C8,W1720,4.065420561,27.4776
A351,2022-01-07,P66,C9,W1210,6.00591716,685.464
A352,2022-08-24,P36,C19,W2284,7.777777778,476.847
A353,2022-02-22,P91,C12,W354,2.563131313,180.9415385
A354,2022-04-16,P16,C12,W106,6.226993865,1062.76
A355,2022-10-05,P72,C2,W579,7.483870968,205.9285714
A356,2022-03-03,P88,C16,W664,7.483870968,1441.5
A357,2022-03-23,P98,C19,W1969,7.891156463,325.048
A358,2022-02-18,P15,C18,W1902,4.00921659,47.089
A359,2022-06-01,P14,C14,W2116,5.649350649,948.64
A360,2022-10-26,P49,C1,W1803,5.178571429,2.5088
A361,2022-05-29,P10,C1,W2110,7.22741433,1030.41
A362,2022-08-31,P99,C14,W845,9.098039216,51.62394366
A363,2022-01-22,P40,C6,W925,2.891737892,172.4814
A364,2022-07-12,P58,C8,W2198,6.170212766,64.26181818
A365,2022-09-28,P96,C20,W2353,6.304347826,32.704
A366,2022-10-14,P41,C10,W2385,6.170212766,59.53668449
A367,2022-01-24,P13,C17,W1528,4.076305221,62.001
A368,2022-02-13,P87,C1,W1892,4.927184466,63.654
A369,2022-05-31,P55,C19,W2114,6.323987539,824.328
A370,2022-05-11,P79,C8,W1034,3.213296399,78.1926
A371,2022-05-19,P9,C18,W741,6.566037736,351.125
A372,2022-07-25,P88,C18,W1710,4.065420561,34.347
A373,2022-08-27,P65,C15,W239,5.918367347,190.7821622
A374,2022-10-20,P76,C2,W1797,5.178571429,1.8816
A375,2022-07-01,P36,C3,W2606,6.126760563,48.67172414
A376,2022-09-11,P17,C17,W1758,5.34562212,5.81345679
A377,2022-06-13,P19,C4,W2140,7.160493827,1049.76
A378,2022-03-19,P90,C4,W680,6.105263158,1218.375
A379,2022-05-07,P63,C15,W2058,5.454545455,610.566
A380,2022-03-20,P69,C17,W79,5.594855305,580.326
A381,2022-09-07,P52,C19,W2674,7.19858156,34.02096257
A382,2022-02-26,P75,C14,W57,5.087719298,701.784
A383,2022-09-20,P68,C10,W865,6.823529412,48.16666667
A384,2022-10-27,P72,C15,W1202,3.126684636,82.5846
A385,2022-05-10,P62,C14,W431,6.403785489,317.3336842
A386,2022-08-03,P60,C1,W2639,8.140350877,49.22727273
A387,2022-10-27,P94,C1,W2411,8.405797101,32.704
A388,2022-01-10,P93,C2,W913,2.478632479,184.8015
A389,2022-01-19,P8,C17,W1842,4.484536082,56.454
A390,2022-02-23,P3,C11,W656,5.612903226,1153.2
A391,2022-04-17,P72,C16,W408,5.850144092,516.0385714
A392,2022-07-10,P46,C10,W2195,8,309.8421053
A393,2022-10-28,P3,C2,W1504,7.918088737,104.0593939
A394,2022-07-18,P45,C9,W199,6.843657817,1237.610769
A395,2022-08-21,P73,C6,W2278,6.420664207,20.98314286
A396,2022-06-10,P64,C4,W462,5.723684211,145.92
A397,2022-07-02,P14,C11,W2607,7.173144876,29.55313653
A398,2022-10-12,P38,C8,W2381,7.355072464,77.28
A399,2022-09-14,P4,C15,W1460,7,193.0163934
A400,2022-03-26,P23,C13,W1288,5.403726708,77.763
A401,2022-06-08,P49,C15,W2130,7.03030303,871.2
A402,2022-07-04,P95,C12,W787,8.754716981,284.9
A403,2022-09-04,P92,C4,W849,6.823529412,137.3767606
A404,2022-09-06,P92,C11,W2309,6.304347826,82.8
A405,2022-01-21,P86,C15,W1224,6.863905325,1713.66
A406,2022-10-17,P92,C16,W1192,2.735849057,206.4615
A407,2022-07-23,P37,C15,W2628,8.405797101,70.16210526
A408,2022-01-30,P16,C20,W1233,6.863905325,1142.44
A409,2022-03-09,P66,C17,W2482,9.169960474,384.054
A410,2022-04-17,P5,C13,W2018,7.009063444,876.488
A411,2022-01-08,P53,C6,W610,5,968.832
A412,2022-03-05,P32,C6,W1932,7.9296875,917.504
A413,2022-07-24,P59,C17,W1408,4,1.334920635
A414,2022-04-20,P5,C14,W2024,6.823529412,924.8
A415,2022-08-25,P14,C8,W839,7.960784314,91.58450704
A416,2022-07-16,P27,C20,W2206,6.615969582,16.60056
A417,2022-05-13,P37,C18,W1637,3.799126638,24.47246667
A418,2022-03-04,P82,C17,W966,2.410926366,265.8615
A419,2022-03-09,P18,C10,W1940,6.304347826,761.76
A420,2022-06-15,P62,C17,W768,7.660377358,324.1153846
A421,2022-09-08,P53,C1,W853,6.823529412,64.22222222
A422,2022-03-13,P65,C9,W1948,7.19858156,477.144
A423,2022-03-11,P1,C14,W973,2.307692308,142.129
A424,2022-04-25,P9,C1,W115,7.116564417,1594.14
A425,2022-07-11,P16,C20,W192,5.132743363,884.0076923
A426,2022-03-21,P64,C2,W983,2.307692308,85.2774
A427,2022-04-19,P79,C5,W2022,5.970588235,693.6
A428,2022-04-25,P9,C16,W115,5.337423313,1594.14
A429,2022-08-28,P99,C10,W2291,7.173144876,152.7367143
A430,2022-09-02,P70,C1,W546,5.194029851,673.35
A431,2022-08-18,P30,C12,W2654,8.197879859,45.33339623
A432,2022-01-22,P32,C9,W1225,6.00591716,1599.416
A433,2022-02-12,P63,C13,W946,2.410926366,106.3446
A434,2022-04-06,P16,C7,W1996,7.048611111,829.44
A435,2022-07-29,P60,C1,W1714,5.420560748,18.3184
A436,2022-04-16,P87,C17,W1309,5.612903226,65.22624434
A437,2022-08-15,P80,C4,W2266,7.435897436,38.15477816
A438,2022-03-12,P48,C4,W71,5.594855305,773.768
A439,2022-03-23,P33,C6,W1586,3.70212766,77.315
A440,2022-06-08,P6,C2,W2131,5.541401274,788.768
A441,2022-10-12,P66,C9,W586,6.023738872,567.845
A442,2022-01-21,P40,C20,W2435,4.806629834,38.22116667
A443,2022-10-26,P32,C5,W299,6.61237785,549.7858333
A444,2022-03-04,P49,C15,W63,6.783625731,935.712
A445,2022-01-27,P89,C13,W1230,6.863905325,1713.66
A446,2022-09-17,P94,C5,W1162,2.196969697,81.94432
A447,2022-02-24,P14,C12,W55,5.087719298,1169.64
A448,2022-05-23,P40,C3,W444,5.488958991,740.4452632
A449,2022-09-07,P29,C6,W1152,2.929292929,188.1792
A450,2022-03-13,P94,C6,W1948,6.170212766,417.5248
A451,2022-03-18,P44,C10,W1280,6.304347826,90.7235
A452,2022-07-02,P61,C19,W2178,8.027681661,371.2044444
A453,2022-08-31,P96,C10,W243,5.918367347,169.3445405
A454,2022-01-03,P29,C5,W1810,5.209580838,33.4668
A455,2022-10-22,P38,C14,W2401,7.355072464,77.28
A456,2022-02-18,P54,C14,W1903,4.246861925,11.4242
